Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0.23983499999998603,1000,,,,0,0.04736328125,-0.99404296875,0.00026552238360410467,-0.00008012308639097077,12.062754852293722,0.00014779990291162725,0,0,0.002975205116598762,0,0,0,0,0.05859375,,
0.23853099999995903,1100,,,,0,0.04716796875,-0.99423828125,-0.0000790596307641417,-0.0017128617031149092,12.06257593748968,0.00019417510296867446,0,0,0.009170274523746674,0,0,0,0,0.05859375,,
5.743030749999971,1200,,,,0.01875,0.0060546875,-0.980859375,-0.0020801240466689808,0.015247801614154516,12.045758938721697,0.3554078180134738,3104,3623,4.281156883841921,0.7892417775113355,18.436452535703737,0.019330745323497267,0.0035617593597501883,0.177734375,,
11.269262249999949,1300,,,,0.0388671875,0.00283203125,-0.97392578125,-0.005699598902183833,0.04329568698550003,12.019385566934242,0.9843552091457616,4913,5734,11.831344623750741,3.4222816821223545,28.92559878258072,0.012651573238549079,0.0036594023617159063,1.63447265625,,
16.794700499999962,1400,,,,0.0201171875,0.00283203125,-0.98515625,-0.00932207775608843,0.07501436338143132,11.978036169054839,1.9270140079880704,15743,7592,23.081841563503062,7.411654949310067,32.10978643141471,0.010123408159103448,0.0032499650104848266,0.53896484375,,
22.34007624999996,1500,,,,0.03291015625,0.0099609375,-0.99091796875,-0.016347677816589763,0.13414405529512785,11.91054474979366,3.5933032647964502,8493,9911,42.798196274410046,16.966177467809068,39.64257154256837,0.00790658716838752,0.003134371735154802,0.43857421875,,
27.85694174999993,1600,,,,-0.01884765625,0.02529296875,-1.003515625,-0.021889022992860385,0.18186903595199955,11.833768571062869,5.517889403974339,9849,6478,65.297411315371,14.843822545390879,22.726484821129848,0.017134716395777787,0.0027852572598376134,0.69619140625,,
33.36823274999996,1700,,,,0.06162109375,-0.0111328125,-1.00888671875,-0.031021619266076144,0.2397131600610422,11.742480574014268,7.668884879463761,11106,273,90.05171999599835,0.8869200911369189,0.9864707998948911,0.015044453303239905,0.0013322176362200683,0.7119140625,,
38.89314174999997,1800,,,,-0.0451171875,0.047265625,-0.93017578125,-0.03778065787637554,0.3044390739358394,11.616534355042907,10.736993517105862,12414,500,124.72664662467784,1.977493374380178,1.5854678542483829,0,0.0024408461512261084,1.30224609375,,
44.39332099999996,1900,,,,-0.10380859375,0.0375,-0.8283203125,-0.04395155683071706,0.36680396798139053,11.473948644001236,14.118545489334227,13412,284,161.9954172981609,1.309396409931527,0.8079233362129535,0,0.0022643034714236792,1.84580078125,,
49.898270999999966,2000,,,,0.03359375,-0.0455078125,-0.9328125,-0.040637435002453995,0.34328375283144197,11.162681247261986,21.73692143824488,13045,238,242.6204259464762,1.0123129017287642,0.4183181699150598,0,0.0013522897250088759,1.82197265625,,
