Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0.2443140000000043,1000,,,,0,0.04658203125,-0.99453125,-0.005540948491515608,0.003175652856962724,16.061859437385642,-0.0010812892143935659,0,0,0.021712293006016882,0,0,0,0,0.05859375,,
0.2266762499999837,1100,,,,0.02060546875,-0.00166015625,-0.97626953125,-0.010258214464115636,0.033684588957513896,16.054689891373393,0.1710243760422086,1767,2061,2.745743336006662,2.2144287245786662,80.64993228646205,0.015220218598862884,0.012268111623266626,0.21982421875,,
5.722323749999986,1200,,,,0.01953125,-0.008984375,-0.93857421875,-0.017341139407965417,0.08628883489529678,16.039115733388048,0.5046787170825431,2823,3294,8.094600427774953,5.981269229274124,73.8927458905674,0.01442678450648974,0.010660110830882124,0.53740234375,,
11.222024999999991,1300,,,,0.09853515625,0.0123046875,-1.008984375,-0.026542908073093747,0.15296868342714787,16.016626711483006,1.0272356908207478,3705,4323,16.452848755205554,12.015769430541562,73.032406476886,0.012730791328989443,0.00929759641875097,0.64853515625,,
16.72248549999999,1400,,,,0.03154296875,0.08662109375,-0.99111328125,-0.038016826780642,0.2546270362933064,15.976529355516863,1.9410557637471495,4711,5497,31.01133361852004,21.883730261421785,70.56732172446016,0.011635462574654207,0.008210840994582847,1.37255859375,,
22.222913499999986,1500,,,,-0.33466796875,-0.25751953125,-0.98603515625,-0.055278150518978456,0.38798557488394414,15.911242274470435,3.447712979955715,6175,6744,54.85740171311005,39.0407289891814,71.16951954469151,0.009937990648853241,0.007072766249335968,1.32431640625,,
27.724079999999987,1600,,,,0.0203125,-0.0046875,-0.98046875,-0.07388721041904561,0.5319737088548868,15.834287856068764,5.307734243027396,6710,7828,84.04418837247832,60.56756097712582,72.06651965669946,0.00878317331708085,0.006329710493543653,1.12060546875,,
33.222881749999985,1700,,,,-0.00078125,0.00439453125,-0.97646484375,-0.09241780003079,0.6753887117530263,15.746901187333506,7.504366994672113,7511,8763,118.17052561740768,84.80356627545083,71.76386856216583,0.007964163354365884,0.005715384691404448,0.95966796875,,
38.72352224999999,1800,,,,0.01533203125,-0.00146484375,-0.97138671875,-0.11101098628906791,0.8224261089659161,15.63979429434885,10.019833772445997,8261,9638,156.70813590550773,112.0430090715686,71.49788100081282,0.0073402799620125815,0.005248140868162435,1.46689453125,,
44.22385249999998,1900,,,,0.11640625,0.00205078125,-1.04833984375,-0.1311504890250524,0.9843853248452975,15.512713288109017,13.157903260687856,8981,10477,204.1147734029244,143.8969791188767,70.49812332864225,0.006840914647048531,0.004822711618327561,1.7380859375,,
49.72405799999999,2000,,,,-0.01484375,0.03076171875,-0.9333984375,-0.14061467478122533,1.0618284222214895,15.440008920228138,14.891204696342854,9307,10858,229.9203334526268,159.88638539111332,69.53990489369754,0.006641146132551548,0.0046182454211235084,1.74111328125,,
